evidence_id	season	master_member	nested_member	evidence_role	used_for
EV-S008	SECOND	canonical_branch_masters/B02/PANTHEON_PLUS_BBC_SOURCE_READINESS_MASTER_V1_0.zip	02_PANTHEON_PLUS_BBC_TRUTH_CLOSURE_SOURCE_READINESS_HOLD/01_AUDIT_RECORD/BRANCH_STATUS_AND_CLOSEOUT.md	BBC source readiness result	Truth closure execution not started
EV-S009	SECOND	canonical_branch_masters/B02/PANTHEON_PLUS_BBC_SOURCE_READINESS_MASTER_V1_0.zip	02_PANTHEON_PLUS_BBC_TRUTH_CLOSURE_SOURCE_READINESS_HOLD/02_REGISTERS/MISSING_INPUT_AND_AMBIGUITY_REGISTER.tsv	BBC missing input register	Explicit re-entry assets
EV-S010	SECOND	canonical_branch_masters/B03A/H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0/01_SCIENTIFIC_SUMMARY_JA.md	H0DN singular covariance summary	Baseline reproduction; non-invariance; support HOLD
EV-S011	SECOND	canonical_branch_masters/B03A/H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0/03_CLAIM_AND_NONCLAIM_LEDGER.tsv	H0DN formal claims	C-001 through N-009
EV-S012	SECOND	canonical_branch_masters/B03A/H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SINGULAR_COVARIANCE_MASTER_REFERENCE_PACKAGE_v1.0.0/04_KEY_NUMERICAL_RESULTS.tsv	H0DN key values	row scaling; P0y; exploratory scope
EV-S013	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/04_CLAIM_AND_NONCLAIM_LEDGER.tsv	SN branch formal claims	SN03B-C001 through SN03B-NC008
EV-S014	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/05_KEY_NUMERICAL_RESULTS.tsv	SN branch key values	Compression; residual; mapping; Phase1F counts
EV-S015	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/06_DEPENDENCY_AND_EVIDENCE_MAP_JA.md	SN evidence hierarchy	Parameter; residual; provenance; candidate; config; executed lineage
EV-S016	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/07_PUBLIC_EVIDENCE_FRONTIER_AND_REENTRY_GATES_JA.md	SN re-entry gate	Exact run-to-final-row evidence requirements
EV-S017	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/canonical_phase_packages/PHASE0/H0DN_SNIA_COMPRESSION_SUFFICIENCY_AUDIT_v0.1.0_PHASE0_FINAL_20260730_01.zip::h0dn-snia-compression-sufficiency-audit/PHASE0_REPORT_JA.md	SN compression primary report	Exact H0 sufficiency and omitted residual term
EV-S018	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/canonical_phase_packages/PHASE1A/h0dn-snia-residual-deficit-localization-audit_v0.1.0.zip::h0dn-snia-residual-deficit-localization-audit-0.1.0/REPORT_JA.md	SN residual localization report	39 contrast df and conditional test
EV-S019	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/canonical_phase_packages/PHASE1B/h0dn-snia-multirow-provenance-audit_v0.1.0.zip::h0dn-snia-multirow-provenance-audit-0.1.0/REPORT_JA.md	SN row and covariance provenance	277/277 and 76,729/76,729
EV-S020	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/canonical_phase_packages/PHASE1C/h0dn-snia-contrast-covariance-calibration-audit_v0.1.0.zip::h0dn-snia-contrast-covariance-calibration-audit-0.1.0/REPORT_JA.md	SN covariance sensitivity	Low flag persists through STATONLY
EV-S021	SECOND	canonical_branch_masters/B03B/H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0.zip	H0DN_SNIA_SAME_CID_RESIDUAL_DEFICIT_MASTER_REFERENCE_PACKAGE_v1.0.0/canonical_phase_packages/PHASE1F/h0dn-snia-cross-series-input-dependency-audit_v0.1.0.zip::h0dn-snia-cross-series-input-dependency-audit-0.1.0/REPORT_JA.md	SN public input dependency	0/48 byte exact; 4/48 numeric; final ancestry open
