ARTIFACT_ID	RELATIVE_PATH	PACKAGE_RELATIVE_PATH	ARCHIVAL_SHA256	PACKAGE_SHA256	ARCHIVAL_BYTES	PACKAGE_BYTES	ORIGIN	CANONICALITY	ROLE	REDISTRIBUTION_CLASS	NOTES
A016	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS19_SOURCE_REGISTRY.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS19_SOURCE_REGISTRY.tsv	153d620cb42d69f5d901dd744fc70cc8c7bb7313110e001bc238951ad9ad0f87	153d620cb42d69f5d901dd744fc70cc8c7bb7313110e001bc238951ad9ad0f87	1011	1011	HTS19	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A017	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS21_DEPENDENCY_GRADE_ATLAS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS21_DEPENDENCY_GRADE_ATLAS.tsv	fdcf72398beef1e0f21f7f8857c5df0c527c7cbc51e08a7ffc769a42c486b868	fdcf72398beef1e0f21f7f8857c5df0c527c7cbc51e08a7ffc769a42c486b868	1975	1975	HTS21	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A018	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS21_SOURCE_REGISTRY.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS21_SOURCE_REGISTRY.tsv	15ad1cfc8de38532dcb1ae728979dde1b526de8e5137c3169caca316c691bd64	15ad1cfc8de38532dcb1ae728979dde1b526de8e5137c3169caca316c691bd64	1844	1844	HTS21	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A019	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS23_AXIS_GEOMETRY_ATLAS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS23_AXIS_GEOMETRY_ATLAS.tsv	dbbfa27f3972841b6eff12b246fd9a76939baeefd92b9694355bde916b5fea89	dbbfa27f3972841b6eff12b246fd9a76939baeefd92b9694355bde916b5fea89	3045	3045	HTS23	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A020	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS23_COMMON_AXIS_SUMMARY.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS23_COMMON_AXIS_SUMMARY.tsv	dd5c057db2e7a83990aa1a2901aad2f9c0ff5e644b00797a2c9f2cee004e770b	dd5c057db2e7a83990aa1a2901aad2f9c0ff5e644b00797a2c9f2cee004e770b	1271	1271	HTS23	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A021	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS23_SOURCE_REGISTRY.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS23_SOURCE_REGISTRY.tsv	227ca3b141a38b8ea6e0f0879cbdcc3c0aba0c082787c14388b00e85359a613a	88fba7bc9fac28fc35e1bba6ba532b923fb04030d14d46c96992d50d2b039d76	701	1505	HTS23	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A022	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv	a3c1cfa52891a57afbcf38d936861f8601e0ec8292437736680296bf8a3e2e4d	a3c1cfa52891a57afbcf38d936861f8601e0ec8292437736680296bf8a3e2e4d	946	946	HTS25	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A023	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS25_SOURCE_REGISTRY.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS25_SOURCE_REGISTRY.tsv	7e42b6658d239385fa60648cb95bd1612592fb14d7aedaeaa8e8b9e934b4aef6	7e42b6658d239385fa60648cb95bd1612592fb14d7aedaeaa8e8b9e934b4aef6	595	595	HTS25	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A024	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV100_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/cmb_geometry/HTV100_MACHINE_READABLE_RESULTS.json	12081f1ad95a2731e9dcc5419b170e0ce8aaa2eaa6587244f91f08136df2e91e	12081f1ad95a2731e9dcc5419b170e0ce8aaa2eaa6587244f91f08136df2e91e	346	346	HTV100	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A025	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV101_NESTED_MODEL_TESTS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTV101_NESTED_MODEL_TESTS.tsv	ed4151e081c7230e8677ef7785a1854daa50d39fb3a0dcf992d60d1964620af8	ed4151e081c7230e8677ef7785a1854daa50d39fb3a0dcf992d60d1964620af8	660	660	HTV101	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A026	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV101_PROFILED_AMPLITUDE_MODELS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTV101_PROFILED_AMPLITUDE_MODELS.tsv	932af5461637086dfc00491a9ce54d3147fe0a5be2578b92b47563b9fcf860b9	932af5461637086dfc00491a9ce54d3147fe0a5be2578b92b47563b9fcf860b9	608	608	HTV101	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A028	EVIDENCE_FREEZE/artifacts/desi_response/HTV84_MODE_ADJUDICATION.tsv	ANALYSIS_OUTPUTS/desi_response/HTV84_MODE_ADJUDICATION.tsv	a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08	a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08	1043	1043	HTV84	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A029	EVIDENCE_FREEZE/artifacts/desi_response/HTV98_CLOSEOUT_METRICS.tsv	ANALYSIS_OUTPUTS/desi_response/HTV98_CLOSEOUT_METRICS.tsv	be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be	be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be	286	286	HTV98	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A030	EVIDENCE_FREEZE/artifacts/desi_response/HTV98_STATE_SUMMARY.tsv	ANALYSIS_OUTPUTS/desi_response/HTV98_STATE_SUMMARY.tsv	9a9dbae1302c9f093388ca9f11c0679280aae4feb425db6e1b342563a8667cab	9a9dbae1302c9f093388ca9f11c0679280aae4feb425db6e1b342563a8667cab	491	491	HTV98	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A032	EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_ALL_JACKKNIFE_RESULTS.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV108_ALL_JACKKNIFE_RESULTS.tsv	16f62796ea4e51a31e9384042211c0c0b8ff20977d3ce44fba1f296a01ea3158	16f62796ea4e51a31e9384042211c0c0b8ff20977d3ce44fba1f296a01ea3158	4004	4004	HTV108	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A033	EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/independent_routes/HTV108_MACHINE_READABLE_RESULTS.json	94397e0f687c2458a4a220dcafc2060a03ce53f94541dd3e1f01e31e217a230f	94397e0f687c2458a4a220dcafc2060a03ce53f94541dd3e1f01e31e217a230f	914	914	HTV108	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A034	EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_NGC4258_ROLE_SEPARATION.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV108_NGC4258_ROLE_SEPARATION.tsv	30fac3024a138c3df5aacc0fe6848f0965b2c9528aed02c4687044457a82cf48	30fac3024a138c3df5aacc0fe6848f0965b2c9528aed02c4687044457a82cf48	1303	1303	HTV108	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A035	EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_SOURCE_REGISTER.json	ANALYSIS_OUTPUTS/independent_routes/HTV108_SOURCE_REGISTER.json	7d977fbe50782667d7eeea2c42406440406a32b3a27e21188a576ef239d77fb8	7d977fbe50782667d7eeea2c42406440406a32b3a27e21188a576ef239d77fb8	1099	1099	HTV108	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A036	EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv	0aec6bfa28e3bbfa8b6857c882133c7588b0a30069c01b5b86f4b63e0f86f81c	0aec6bfa28e3bbfa8b6857c882133c7588b0a30069c01b5b86f4b63e0f86f81c	1089	1089	HTV111	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A037	EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv	f183b96b10e9e0ef67233abb414b89a166523948b4d227b9862c3571fea48758	f183b96b10e9e0ef67233abb414b89a166523948b4d227b9862c3571fea48758	1643	1643	HTV111	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A038	EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_ROUTE_CONTRACT_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV111_ROUTE_CONTRACT_MATRIX.tsv	a1ffcacbad597513120934b3e75ad7228be78c7b736bcc438c255c74244518fd	a1ffcacbad597513120934b3e75ad7228be78c7b736bcc438c255c74244518fd	959	959	HTV111	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A039	EVIDENCE_FREEZE/artifacts/independent_routes/HTV112_PUBLIC_CODE_REPRODUCTION.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV112_PUBLIC_CODE_REPRODUCTION.tsv	dab0e8fe97751e7aee3b5a38cb85f9952fffd374f13fc920b6e4ceffc9e7f9fd	dab0e8fe97751e7aee3b5a38cb85f9952fffd374f13fc920b6e4ceffc9e7f9fd	1100	1100	HTV112	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A040	EVIDENCE_FREEZE/artifacts/independent_routes/HTV112_SOURCE_REGISTER.json	ANALYSIS_OUTPUTS/independent_routes/HTV112_SOURCE_REGISTER.json	31b2deecb9a6e86aa777214e8ce52b3044aed49846139957cc62110ac1e73241	31b2deecb9a6e86aa777214e8ce52b3044aed49846139957cc62110ac1e73241	1149	1149	HTV112	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A041	EVIDENCE_FREEZE/artifacts/independent_routes/HTV113_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/independent_routes/HTV113_MACHINE_READABLE_RESULTS.json	5c48369ee10d8b01833fafc24817e8e1c540c9d5f661fb4f04f28a0e23f99482	5c48369ee10d8b01833fafc24817e8e1c540c9d5f661fb4f04f28a0e23f99482	1253	1253	HTV113	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A042	EVIDENCE_FREEZE/artifacts/independent_routes/HTV113_ORTHOGONAL_PATH_AUDIT.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV113_ORTHOGONAL_PATH_AUDIT.tsv	15dc42b28c5c3bd7ab36ed3e0a6cb9658d2ab3650476a2c3497762f6120a9475	15dc42b28c5c3bd7ab36ed3e0a6cb9658d2ab3650476a2c3497762f6120a9475	1404	1404	HTV113	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A043	EVIDENCE_FREEZE/artifacts/independent_routes/HTV113_SOURCE_REGISTER.json	ANALYSIS_OUTPUTS/independent_routes/HTV113_SOURCE_REGISTER.json	3b4c2b20704855ce68bd84e7087571325f91eb624e624f4263c762896da8c872	3b4c2b20704855ce68bd84e7087571325f91eb624e624f4263c762896da8c872	741	741	HTV113	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A044	EVIDENCE_FREEZE/artifacts/independent_routes/HTV135_CLAIM_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV135_CLAIM_MATRIX.tsv	7a8a5f8165236816405ec246a29e3471081890f5a97514ac90f4b53d4e8ae7ea	7a8a5f8165236816405ec246a29e3471081890f5a97514ac90f4b53d4e8ae7ea	3481	3481	HTV135	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A046	EVIDENCE_FREEZE/artifacts/integrated/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	ANALYSIS_OUTPUTS/integrated/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	2fccaff9d434e1b2cc5707b1c1aa2d2371ab677976cd98e08c4d652d5035b9eb	2fccaff9d434e1b2cc5707b1c1aa2d2371ab677976cd98e08c4d652d5035b9eb	5884	5884	HTV	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A047	EVIDENCE_FREEZE/artifacts/integrated/HTV_HTS_MAJOR_BRANCH_LEDGER.tsv	ANALYSIS_OUTPUTS/integrated/HTV_HTS_MAJOR_BRANCH_LEDGER.tsv	ac8269da3a34ace427faa0bc439955b52d539548d6fff3b2cd713936077cc58e	ac8269da3a34ace427faa0bc439955b52d539548d6fff3b2cd713936077cc58e	9033	9033	HTV	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
