STATEMENT_ID	PUBLIC_STATEMENT	EVIDENCE_ASSESSMENT	INTERPRETATION_LIMIT	PRIMARY_OUTPUTS	OUTPUT_RELATIVE_PATHS	OUTPUT_PACKAGE_RELATIVE_PATHS	OUTPUT_PACKAGE_SHA256	OUTPUT_SHA256	SOURCE_DATASET_OR_CHAIN	SOURCE_VERSION	NUMERICAL_ANCHOR	INDEPENDENCE_CLASS	MAIN_MANUSCRIPT_LOCATION	PUBLIC_EVIDENCE_LOCATION
C011	Within the tested basis, a common intermediate-redshift isotropic mode has the largest response opposite the CMB direction, while the LRG1 transverse mode acts as a counter-anchor.	Supported as a response ranking within the tested basis.	Response magnitude does not identify a physical cause.	HTV84_MODE_ADJUDICATION.tsv	EVIDENCE_FREEZE/artifacts/desi_response/HTV84_MODE_ADJUDICATION.tsv	ANALYSIS_OUTPUTS/desi_response/HTV84_MODE_ADJUDICATION.tsv	HTV84_MODE_ADJUDICATION.tsv=a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08	HTV84_MODE_ADJUDICATION.tsv=a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08	DESI DR2 released BAO vector and frozen CMB endpoints	DESI v3; endpoint versions in CMB source ledgers	common_ISO delta_Omega_m=+0.003309; delta_q=-0.664576 Mpc	SAME_DESI_VECTOR_MULTIPLE_BASES	§3.3	ANALYSIS_OUTPUTS/desi_response/HTV84_MODE_ADJUDICATION.tsv
C012	After removing the primary pair, the remaining influence is distributed rather than concentrated in a third single mode.	Supported within the closeout analysis.	Further mode peeling without new source information would be repetitive.	HTV98_CLOSEOUT_METRICS.tsv; HTV98_STATE_SUMMARY.tsv	EVIDENCE_FREEZE/artifacts/desi_response/HTV98_CLOSEOUT_METRICS.tsv; EVIDENCE_FREEZE/artifacts/desi_response/HTV98_STATE_SUMMARY.tsv	ANALYSIS_OUTPUTS/desi_response/HTV98_CLOSEOUT_METRICS.tsv; ANALYSIS_OUTPUTS/desi_response/HTV98_STATE_SUMMARY.tsv	HTV98_CLOSEOUT_METRICS.tsv=be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be; HTV98_STATE_SUMMARY.tsv=9a9dbae1302c9f093388ca9f11c0679280aae4feb425db6e1b342563a8667cab	HTV98_CLOSEOUT_METRICS.tsv=be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be; HTV98_STATE_SUMMARY.tsv=9a9dbae1302c9f093388ca9f11c0679280aae4feb425db6e1b342563a8667cab	DESI DR2 released BAO vector	DESI v3; same vector as C010–C011	third_single_mode_concentration=NOT_SUPPORTED	SAME_DESI_VECTOR_CLOSEOUT	§3.3	ANALYSIS_OUTPUTS/desi_response/HTV98_CLOSEOUT_METRICS.tsv; ANALYSIS_OUTPUTS/desi_response/HTV98_STATE_SUMMARY.tsv
C013	The displacements of the Planck, SPT, and ACT posterior centers from the DESI reference point are consistent with an approximately common direction.	Supported within the endpoint-geometry model.	Cross-experiment CMB covariance is unavailable.	HTV100_MACHINE_READABLE_RESULTS.json; HTV101_PROFILED_AMPLITUDE_MODELS.tsv	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV100_MACHINE_READABLE_RESULTS.json; EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV101_PROFILED_AMPLITUDE_MODELS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTV100_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/cmb_geometry/HTV101_PROFILED_AMPLITUDE_MODELS.tsv	HTV100_MACHINE_READABLE_RESULTS.json=12081f1ad95a2731e9dcc5419b170e0ce8aaa2eaa6587244f91f08136df2e91e; HTV101_PROFILED_AMPLITUDE_MODELS.tsv=932af5461637086dfc00491a9ce54d3147fe0a5be2578b92b47563b9fcf860b9	HTV100_MACHINE_READABLE_RESULTS.json=12081f1ad95a2731e9dcc5419b170e0ce8aaa2eaa6587244f91f08136df2e91e; HTV101_PROFILED_AMPLITUDE_MODELS.tsv=932af5461637086dfc00491a9ce54d3147fe0a5be2578b92b47563b9fcf860b9	Planck, SPT-3G D1, ACT DR6 Gaussian endpoints relative to DESI	Planck v4; SPT arXiv:2506.20707v2; ACT arXiv:2503.14452v2; DESI v3	orthogonal_chi2/dof=0.213570/2; p=0.898719; min_capture=97.24%	PARTIAL_CMB_EXPERIMENT_INDEPENDENCE_SHARED_DESI_REFERENCE	§3.4	ANALYSIS_OUTPUTS/cmb_geometry/HTV100_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/cmb_geometry/HTV101_PROFILED_AMPLITUDE_MODELS.tsv
C014	The common CMB direction is substantially described by flat-ΛCDM acoustic-invariant geometry.	Supported within the base-ΛCDM invariant calculation.	The relation cannot be transferred automatically to extended models.	HTS23_COMMON_AXIS_SUMMARY.tsv; HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS23_COMMON_AXIS_SUMMARY.tsv; EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS23_COMMON_AXIS_SUMMARY.tsv; ANALYSIS_OUTPUTS/cmb_geometry/HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv	HTS23_COMMON_AXIS_SUMMARY.tsv=dd5c057db2e7a83990aa1a2901aad2f9c0ff5e644b00797a2c9f2cee004e770b; HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv=a3c1cfa52891a57afbcf38d936861f8601e0ec8292437736680296bf8a3e2e4d	HTS23_COMMON_AXIS_SUMMARY.tsv=dd5c057db2e7a83990aa1a2901aad2f9c0ff5e644b00797a2c9f2cee004e770b; HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv=a3c1cfa52891a57afbcf38d936861f8601e0ec8292437736680296bf8a3e2e4d	same CMB/DESI endpoints and Planck acoustic invariant	Planck v4; SPT v2; ACT v2; DESI v3	axis_angle=0.1986 deg; slope_difference=-0.7484%	ENDPOINT_GEOMETRY_NOT_CAUSAL_IDENTIFICATION	§3.4	ANALYSIS_OUTPUTS/cmb_geometry/HTS23_COMMON_AXIS_SUMMARY.tsv; ANALYSIS_OUTPUTS/cmb_geometry/HTS25_ACOUSTIC_INVARIANT_CROSSCHECK.tsv
C015	A local ACT amplitude contrast does not establish a global hierarchy among the CMB experiments.	Retained as a local, suggestive contrast only.	The ACT split was identified within the same data family.	HTV101_NESTED_MODEL_TESTS.tsv	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTV101_NESTED_MODEL_TESTS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTV101_NESTED_MODEL_TESTS.tsv	HTV101_NESTED_MODEL_TESTS.tsv=ed4151e081c7230e8677ef7785a1854daa50d39fb3a0dcf992d60d1964620af8	HTV101_NESTED_MODEL_TESTS.tsv=ed4151e081c7230e8677ef7785a1854daa50d39fb3a0dcf992d60d1964620af8	frozen Planck/SPT/ACT Gaussian moments	same endpoint versions as C013; bootstrap fixed at stage level	ACT_split=2.054 sigma; omnibus=1.594 sigma	SAME_FROZEN_GAUSSIAN_MOMENTS	§3.4	ANALYSIS_OUTPUTS/cmb_geometry/HTV101_NESTED_MODEL_TESTS.tsv
C016	Across three official ACT robustness posteriors, center shifts are at most about 0.12 of the baseline posterior width.	Supported as an internal ACT robustness result.	The variants share ACT data and model components.	HTS43_ROBUSTNESS_RESPONSE.tsv; HTS43_NUMERICAL_RESULTS.json	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_ROBUSTNESS_RESPONSE.tsv; EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_NUMERICAL_RESULTS.json	ANALYSIS_OUTPUTS/act_robustness/HTS43_ROBUSTNESS_RESPONSE.tsv; ANALYSIS_OUTPUTS/act_robustness/HTS43_NUMERICAL_RESULTS.json	HTS43_ROBUSTNESS_RESPONSE.tsv=da152cc4617d56034e95cf83c933c2f52088ad16f85687d1820341b261e9537d; HTS43_NUMERICAL_RESULTS.json=0e0dc17a7567d39d417d1a613fcdd54c0e11ed822ee77b1038365884e29ea99e	HTS43_ROBUSTNESS_RESPONSE.tsv=da152cc4617d56034e95cf83c933c2f52088ad16f85687d1820341b261e9537d; HTS43_NUMERICAL_RESULTS.json=0e0dc17a7567d39d417d1a613fcdd54c0e11ed822ee77b1038365884e29ea99e	NASA LAMBDA ACT DR6.02 baseline and three robustness chains	baseline archive hash fixed; variant archive identities recorded at HTS43	max_omega_c=0.115897 baseline_SD; max_tangent=0.114023 baseline_SD	WITHIN_ACT_SOURCE_CORRELATED_VARIANTS	§3.4	ANALYSIS_OUTPUTS/act_robustness/HTS43_ROBUSTNESS_RESPONSE.tsv; ANALYSIS_OUTPUTS/act_robustness/HTS43_NUMERICAL_RESULTS.json
C017	ACT and SPT are partly independent of Planck high-ℓ primary spectra, but share low-ℓ optical-depth information and calibration interfaces.	Retained with qualified independence.	This is not complete data independence.	HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv; HTS21_DEPENDENCY_GRADE_ATLAS.tsv	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv; EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS21_DEPENDENCY_GRADE_ATLAS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv; ANALYSIS_OUTPUTS/cmb_geometry/HTS21_DEPENDENCY_GRADE_ATLAS.tsv	HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv=7b5255f90012d852fa53daa6bfe823204125f42c7521f44197bf47e379a72faf; HTS21_DEPENDENCY_GRADE_ATLAS.tsv=fdcf72398beef1e0f21f7f8857c5df0c527c7cbc51e08a7ffc769a42c486b868	HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv=7b5255f90012d852fa53daa6bfe823204125f42c7521f44197bf47e379a72faf; HTS21_DEPENDENCY_GRADE_ATLAS.tsv=fdcf72398beef1e0f21f7f8857c5df0c527c7cbc51e08a7ffc769a42c486b868	ACT DR6 and SPT-3G primary likelihood/paper contracts	ACT DR6.02; SPT products and paper versions listed in source ledgers	not_applicable	PARTIAL_PRIMARY_SPECTRA_INDEPENDENCE_SHARED_INTERFACES	§3.4; §4	ANALYSIS_OUTPUTS/cmb_geometry/HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv; ANALYSIS_OUTPUTS/cmb_geometry/HTS21_DEPENDENCY_GRADE_ATLAS.tsv
C018	Within the prespecified parameter split, posterior distance and fixed block totals are stable summary quantities.	Supported within the frozen split and metric.	These summaries are not new independent observations.	HTS66_INVARIANT_HIERARCHY.tsv	EVIDENCE_FREEZE/artifacts/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv	ANALYSIS_OUTPUTS/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv	HTS66_INVARIANT_HIERARCHY.tsv=4f2f348bba2f17b4abdb77cfa4112f4c701bfca588042b192fa171b1727e10dd	HTS66_INVARIANT_HIERARCHY.tsv=4f2f348bba2f17b4abdb77cfa4112f4c701bfca588042b192fa171b1727e10dd	frozen five-release posterior endpoints used in HTS59–66	stage package hashes fixed; raw chain cache not included	max_distance_discrepancy=1.42e-13; max_block_share_discrepancy=1.67e-15	SAME_ENDPOINTS_CROSS_STAGE_INVARIANT	§3.5	ANALYSIS_OUTPUTS/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv
C019	Attribution to individual parameters, modes, or coalitions depends on coordinates, partitions, and eigengaps.	Supported as an attribution-boundary result.	The allocations are descriptive and convention-dependent.	HTS66_INVARIANT_HIERARCHY.tsv; HTS66_PRIMARY_SYNTHESIS.tsv	EVIDENCE_FREEZE/artifacts/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv; EVIDENCE_FREEZE/artifacts/posterior_attribution/HTS66_PRIMARY_SYNTHESIS.tsv	ANALYSIS_OUTPUTS/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv; ANALYSIS_OUTPUTS/posterior_attribution/HTS66_PRIMARY_SYNTHESIS.tsv	HTS66_INVARIANT_HIERARCHY.tsv=4f2f348bba2f17b4abdb77cfa4112f4c701bfca588042b192fa171b1727e10dd; HTS66_PRIMARY_SYNTHESIS.tsv=411b14fc62e8648faccfdd8aff42def21a6d13af60aa5711e049035aacc9044b	HTS66_INVARIANT_HIERARCHY.tsv=4f2f348bba2f17b4abdb77cfa4112f4c701bfca588042b192fa171b1727e10dd; HTS66_PRIMARY_SYNTHESIS.tsv=411b14fc62e8648faccfdd8aff42def21a6d13af60aa5711e049035aacc9044b	same frozen posterior endpoints under coordinate/partition changes	HTS59–66 internal frozen contracts	basis_sensitive=14/14; max_top_share_range=0.4654	SAME_ENDPOINTS_CONVENTION_SENSITIVITY	§3.5	ANALYSIS_OUTPUTS/posterior_attribution/HTS66_INVARIANT_HIERARCHY.tsv; ANALYSIS_OUTPUTS/posterior_attribution/HTS66_PRIMARY_SYNTHESIS.tsv
C020	The symmetric-pooling robustness test remained unresolved because alternative conventions produced materially different allocations.	Unresolved under convention sensitivity.	This tests metric robustness rather than constituting an independent scientific measurement.	HTS67_CLASSIFICATION.tsv; HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv	EVIDENCE_FREEZE/artifacts/posterior_attribution/HTS67_CLASSIFICATION.tsv; EVIDENCE_FREEZE/artifacts/posterior_attribution/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv	ANALYSIS_OUTPUTS/posterior_attribution/HTS67_CLASSIFICATION.tsv; ANALYSIS_OUTPUTS/posterior_attribution/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv	HTS67_CLASSIFICATION.tsv=8d4c8ff4002d3dd9e40f61bf1c4e34020f4ceb5a43d12b556a656713e0456625; HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv=3c7e6bfc17dee1a33a6a3dee60cb287eabff7aa9a10f5fb8c7e5dc4fb135dfa0	HTS67_CLASSIFICATION.tsv=8d4c8ff4002d3dd9e40f61bf1c4e34020f4ceb5a43d12b556a656713e0456625; HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv=3c7e6bfc17dee1a33a6a3dee60cb287eabff7aa9a10f5fb8c7e5dc4fb135dfa0	same frozen posterior endpoints under two symmetric pooling metrics	HTS67 primary/sensitivity contracts	max_block_share_diff=0.2900; max_order_diff=0.3801; agreement=4/7	SAME_ENDPOINTS_METRIC_ROBUSTNESS_TEST	§3.5	ANALYSIS_OUTPUTS/posterior_attribution/HTS67_CLASSIFICATION.tsv; ANALYSIS_OUTPUTS/posterior_attribution/HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv
C021	Non-ladder routes have measurement-core independence, while each complete inference retains route-specific dependencies.	Retained as a dependency map; naive combination is not justified.	Likelihoods and covariances are not mutually compatible across all routes.	HTV111_ROUTE_CONTRACT_MATRIX.tsv; HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv; HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv	EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_ROUTE_CONTRACT_MATRIX.tsv; EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv; EVIDENCE_FREEZE/artifacts/independent_routes/HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV111_ROUTE_CONTRACT_MATRIX.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv	HTV111_ROUTE_CONTRACT_MATRIX.tsv=a1ffcacbad597513120934b3e75ad7228be78c7b736bcc438c255c74244518fd; HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv=f183b96b10e9e0ef67233abb414b89a166523948b4d227b9862c3571fea48758; HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv=0aec6bfa28e3bbfa8b6857c882133c7588b0a30069c01b5b86f4b63e0f86f81c	HTV111_ROUTE_CONTRACT_MATRIX.tsv=a1ffcacbad597513120934b3e75ad7228be78c7b736bcc438c255c74244518fd; HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv=f183b96b10e9e0ef67233abb414b89a166523948b4d227b9862c3571fea48758; HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv=0aec6bfa28e3bbfa8b6857c882133c7588b0a30069c01b5b86f4b63e0f86f81c	MCP, time-delay lenses, standard sirens, lensed-supernova public records	heterogeneous route versions; no combined likelihood	not_applicable	MEASUREMENT_CORE_PARTIAL_INDEPENDENCE_WITH_ROUTE_DEPENDENCIES	§3.6	ANALYSIS_OUTPUTS/independent_routes/HTV111_ROUTE_CONTRACT_MATRIX.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV111_DEPENDENCY_QUALIFICATION_MATRIX.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV111_CROSS_ROUTE_INDEPENDENCE_MATRIX.tsv
C022	The high-side Megamaser Cosmology Project center is not solely an echo of NGC 4258, but remains sensitive to flow and distance-prior choices.	Supported within the published and public-code checks.	A joint peculiar-velocity covariance was not available.	HTV108_ALL_JACKKNIFE_RESULTS.tsv; HTV108_NGC4258_ROLE_SEPARATION.tsv; HTV108_MACHINE_READABLE_RESULTS.json; HTV112_PUBLIC_CODE_REPRODUCTION.tsv	EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_ALL_JACKKNIFE_RESULTS.tsv; EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_NGC4258_ROLE_SEPARATION.tsv; EVIDENCE_FREEZE/artifacts/independent_routes/HTV108_MACHINE_READABLE_RESULTS.json; EVIDENCE_FREEZE/artifacts/independent_routes/HTV112_PUBLIC_CODE_REPRODUCTION.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV108_ALL_JACKKNIFE_RESULTS.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV108_NGC4258_ROLE_SEPARATION.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV108_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/independent_routes/HTV112_PUBLIC_CODE_REPRODUCTION.tsv	HTV108_ALL_JACKKNIFE_RESULTS.tsv=16f62796ea4e51a31e9384042211c0c0b8ff20977d3ce44fba1f296a01ea3158; HTV108_NGC4258_ROLE_SEPARATION.tsv=30fac3024a138c3df5aacc0fe6848f0965b2c9528aed02c4687044457a82cf48; HTV108_MACHINE_READABLE_RESULTS.json=94397e0f687c2458a4a220dcafc2060a03ce53f94541dd3e1f01e31e217a230f; HTV112_PUBLIC_CODE_REPRODUCTION.tsv=dab0e8fe97751e7aee3b5a38cb85f9952fffd374f13fc920b6e4ceffc9e7f9fd	HTV108_ALL_JACKKNIFE_RESULTS.tsv=16f62796ea4e51a31e9384042211c0c0b8ff20977d3ce44fba1f296a01ea3158; HTV108_NGC4258_ROLE_SEPARATION.tsv=30fac3024a138c3df5aacc0fe6848f0965b2c9528aed02c4687044457a82cf48; HTV108_MACHINE_READABLE_RESULTS.json=94397e0f687c2458a4a220dcafc2060a03ce53f94541dd3e1f01e31e217a230f; HTV112_PUBLIC_CODE_REPRODUCTION.tsv=dab0e8fe97751e7aee3b5a38cb85f9952fffd374f13fc920b6e4ceffc9e7f9fd	MCP XIII published jackknife tables and H0DN public point-flow code	MCP arXiv:2001.09213v2; H0DN commit cc0a4b9f36e65470d514f254a3c5cffa463fbd94	without_NGC4258=73.6 +3.1/-3.0; flow_medians=71.8–76.9	WITHIN_MCP_ROUTE_PUBLISHED_LOO_AND_PUBLIC_CODE_CHECK	§3.6	ANALYSIS_OUTPUTS/independent_routes/HTV108_ALL_JACKKNIFE_RESULTS.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV108_NGC4258_ROLE_SEPARATION.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV108_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/independent_routes/HTV112_PUBLIC_CODE_REPRODUCTION.tsv
C023	The high direction in the Local Distance Network persists under data-graph splits, but full-systematics orthogonality has not been established.	Mixed evidence accepted within scope.	Flow, cosmography, and framework assumptions remain shared.	HTV113_ORTHOGONAL_PATH_AUDIT.tsv; HTV113_MACHINE_READABLE_RESULTS.json; HTV135_CLAIM_MATRIX.tsv	EVIDENCE_FREEZE/artifacts/independent_routes/HTV113_ORTHOGONAL_PATH_AUDIT.tsv; EVIDENCE_FREEZE/artifacts/independent_routes/HTV113_MACHINE_READABLE_RESULTS.json; EVIDENCE_FREEZE/artifacts/independent_routes/HTV135_CLAIM_MATRIX.tsv	ANALYSIS_OUTPUTS/independent_routes/HTV113_ORTHOGONAL_PATH_AUDIT.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV113_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/independent_routes/HTV135_CLAIM_MATRIX.tsv	HTV113_ORTHOGONAL_PATH_AUDIT.tsv=15dc42b28c5c3bd7ab36ed3e0a6cb9658d2ab3650476a2c3497762f6120a9475; HTV113_MACHINE_READABLE_RESULTS.json=5c48369ee10d8b01833fafc24817e8e1c540c9d5f661fb4f04f28a0e23f99482; HTV135_CLAIM_MATRIX.tsv=7a8a5f8165236816405ec246a29e3471081890f5a97514ac90f4b53d4e8ae7ea	HTV113_ORTHOGONAL_PATH_AUDIT.tsv=15dc42b28c5c3bd7ab36ed3e0a6cb9658d2ab3650476a2c3497762f6120a9475; HTV113_MACHINE_READABLE_RESULTS.json=5c48369ee10d8b01833fafc24817e8e1c540c9d5f661fb4f04f28a0e23f99482; HTV135_CLAIM_MATRIX.tsv=7a8a5f8165236816405ec246a29e3471081890f5a97514ac90f4b53d4e8ae7ea	H0 Distance Network paper and public repository	A&A 708 A166; commit cc0a4b9f36e65470d514f254a3c5cffa463fbd94	O1=73.110±0.920; O2=73.451±1.777; display_diff=0.1704 sigma	DATA_GRAPH_ORTHOGONAL_NOT_FULL_SYSTEMATICS_ORTHOGONAL	§3.6	ANALYSIS_OUTPUTS/independent_routes/HTV113_ORTHOGONAL_PATH_AUDIT.tsv; ANALYSIS_OUTPUTS/independent_routes/HTV113_MACHINE_READABLE_RESULTS.json; ANALYSIS_OUTPUTS/independent_routes/HTV135_CLAIM_MATRIX.tsv
C024	Twenty-eight public TDCOSMO HDF5 exports were structurally audited; equal-weight empirical quantiles from the public chains matched independently transcribed Table 6 values in all 12 comparable rows at published precision.	Supported after correction of the analysis contract.	Weights, log-probability values, and walker/time metadata are absent from the public exports.	HTS68_CHAIN_CONTRACT_AUDIT.tsv; HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv; HTS68_PAPER_TABLE6_REFERENCE.tsv	EVIDENCE_FREEZE/artifacts/tdcosmo/original_results/HTS68_CHAIN_CONTRACT_AUDIT.tsv; EVIDENCE_FREEZE/artifacts/tdcosmo/original_results/HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv; EVIDENCE_FREEZE/artifacts/tdcosmo/corr2/HTS68_PAPER_TABLE6_REFERENCE.tsv	ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_CHAIN_CONTRACT_AUDIT.tsv; ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv; ANALYSIS_OUTPUTS/tdcosmo/corr2/HTS68_PAPER_TABLE6_REFERENCE.tsv	HTS68_CHAIN_CONTRACT_AUDIT.tsv=7341704eb77605b91d380b32e7bbba3941387639faa15b274a8d0d60310fdbb1; HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv=767fc8d1c88f53a1f43991f54142a1a3c9bb879b5874f89961003b215dd3496f; HTS68_PAPER_TABLE6_REFERENCE.tsv=1cd322aa9e1131bd6a81702e1b81d3afb49f0388b59825983573e05d260d00ed	HTS68_CHAIN_CONTRACT_AUDIT.tsv=7341704eb77605b91d380b32e7bbba3941387639faa15b274a8d0d60310fdbb1; HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv=767fc8d1c88f53a1f43991f54142a1a3c9bb879b5874f89961003b215dd3496f; HTS68_PAPER_TABLE6_REFERENCE.tsv=1cd322aa9e1131bd6a81702e1b81d3afb49f0388b59825983573e05d260d00ed	TDCOSMO2025_public 28 HDF5 exports and manually transcribed Table 6 reference	repository commit d7f38db341f68be1df0d9ac1fc528c45113f94cf; historical paper version unresolved	28 files; 500000 rows each; 12/12 rounded reference matches	ORIGINAL_IMPLEMENTATION_PUBLIC_CHAIN_RECONSTRUCTION	§3.7	ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_CHAIN_CONTRACT_AUDIT.tsv; ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_FLAT_LCDM_POSTERIOR_SUMMARY.tsv; ANALYSIS_OUTPUTS/tdcosmo/corr2/HTS68_PAPER_TABLE6_REFERENCE.tsv
C025	Among comparable nested public posteriors, shifts associated with adding SLACS were consistently larger than shifts associated with adding SL2S for both H0 and λ_int medians.	Descriptive observation outside a formal causal test.	The posteriors are dependent and simultaneous additions can contain non-additive interactions.	HTS68_NESTED_DEPENDENCY_SHIFTS.tsv; HTS68_CORR1_CANONICAL_CLASSIFICATION.md	EVIDENCE_FREEZE/artifacts/tdcosmo/original_results/HTS68_NESTED_DEPENDENCY_SHIFTS.tsv; EVIDENCE_FREEZE/artifacts/tdcosmo/corr1/HTS68_CORR1_CANONICAL_CLASSIFICATION.md	ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_NESTED_DEPENDENCY_SHIFTS.tsv; ANALYSIS_OUTPUTS/tdcosmo/corr1/HTS68_CORR1_CANONICAL_CLASSIFICATION.md	HTS68_NESTED_DEPENDENCY_SHIFTS.tsv=ccee88ae7f2e5fbf5e562c28325dfd61d71f4abb00ba4f13102e6c41cd0fc994; HTS68_CORR1_CANONICAL_CLASSIFICATION.md=d78f931dde6a06c7fcbba97a61070da4664cd59693dd1f6688c7a34560908394	HTS68_NESTED_DEPENDENCY_SHIFTS.tsv=ccee88ae7f2e5fbf5e562c28325dfd61d71f4abb00ba4f13102e6c41cd0fc994; HTS68_CORR1_CANONICAL_CLASSIFICATION.md=d78f931dde6a06c7fcbba97a61070da4664cd59693dd1f6688c7a34560908394	TDCOSMO2025_public nested posterior exports	same frozen repository commit; descriptive comparison only	no_aux=3.05 vs 0.43; Pantheon+=2.49 vs 0.47 km/s/Mpc	SHARED_NESTED_POSTERIORS_DESCRIPTIVE	§3.7	ANALYSIS_OUTPUTS/tdcosmo/original_results/HTS68_NESTED_DEPENDENCY_SHIFTS.tsv; ANALYSIS_OUTPUTS/tdcosmo/corr1/HTS68_CORR1_CANONICAL_CLASSIFICATION.md
