claim_id	manuscript_section	claim_summary	season	branch_or_phase	evidence_path	source_record	source_version	artifact_sha256	evidence_level	limitation	nonclaim
P-FS-011	4 Table 1	Cross-route dependencies prohibit naive averaging of nominally separate branches.	FIRST	FS-B16	evidence/first_season/cross_route/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C018 / FS-C020	1.0.0	ee8d8525bfed949bfd95ad5812bed35d652caa5e6be242d2d8969549d7348df0	MASTER_RECORDED_METHOD_BOUNDARY	No combined H0 or cross-route independence claim.	NO
P-SS-001	5.1	GWTC-4 and GWTC-5 v1 headline posterior quantiles reproduce the fixed-version one-decimal summaries.	SECOND	B01 Gate A	evidence/gwtc/RESULTS_MACHINE_READABLE.json	SECOND_MASTER::B01 canonical master	1.0.0 / frozen v1 products	331994dbf963179b1cc4638c333a6dcc5d423b612efe60d008039834d8b9f937	BYTE_EXACT_CANONICAL_RESULT	No likelihood, sampler, or event-level reproduction.	NO
P-SS-002	5.1	Applying the GWTC-5 v1 stated 68%-CI average-uncertainty metric to the examined public GWTC-4/5 headline posterior pair gives 28.547849 percent, not the published 25.7 percent.	SECOND	B01 Gate B	evidence/gwtc/HEADLINE_PAIR_DIAGNOSTIC_METRIC.tsv	SECOND_MASTER::B01-C02	1.0.0	0e83afaeeee2973d8ed79514ee16c18f4e94938bdb66584dd86e336d1a9a1cb8	BYTE_EXACT_CANONICAL_HOLD	The metric definition and GWTC-4 comparison are explicit; the exact public legacy product or numerical realization yielding 25.7 percent was not identified.	NO
P-SS-003	5.2	The fixed public record does not uniquely specify a matched BBC validation bundle connecting simulation truth, fitted outputs, pre/post-correction vectors, covariance, and run configuration.	SECOND	B02	evidence/bbc/MISSING_INPUT_AND_AMBIGUITY_REGISTER.tsv	SECOND_MASTER::B02-C01	1.0.0	85d670dca4fbe61bac129150292817ab5e15805b72c4edaf2dc5d2e1a97179fb	BYTE_EXACT_CANONICAL_SOURCE_READINESS_RESULT	Does not imply BBC is incorrect.	NO
P-SS-004	5.3; Supplement A	The H0DN baseline is recovered under the version-locked public numerical specification.	SECOND/FINAL	B03A / final validation	results/internal_validation_results_recorded.json	FINAL_VALIDATION::results/internal_validation_results.json	0.1.0	05399e51c5f42f75c9c0b52273a11f93c5168bcf39f3ba0960927c17ab8c3821	BYTE_EXACT_FINAL_RECORDED_RESULT	No corrected or preferred H0.	NO
P-SS-005	5.3; 8.3; Supplement A	On-support singular-Gaussian target inference is invariant under invertible row coordinates.	FINAL	FV mathematical boundary	SCOPE_AND_NONCLAIMS.md	FINAL_MASTER::framework and manuscript scope refinement	0.1.0	ebd272f04bd78e1635cc05952103df211ed4dbf90b20dc823d6d8081f064e08d	BOUNDED_MATHEMATICAL_SCOPE	This is the on-support statement; it is not the observed off-support setting.	NO
P-SS-006	5.3; Supplement A	The rounded off-support H0DN vector under the tested projected Moore-Penrose loss changes by about -0.052445422611 under non-orthogonal scaling.	SECOND/FINAL	B03A / V-008 through V-013	evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv	FINAL_MASTER::VALIDATION_LEDGER.tsv	0.1.0	b0529941e8d40cf91319c867760bc0525d3b2069d20e51b6ca54bb126ecda0e6	FINAL_PROJECT_INTERNAL_REVALIDATION	Specific to the frozen rounded vector, tested scaling, and projected-loss prescription.	NO
P-SS-007	5.4; Supplement B	The 277-row scalar preserves the fixed-covariance one-intercept target but omits a residual χ² term of 206.7606364373241.	SECOND/FINAL	B03B Phase 0 / V-014	results/internal_validation_results_recorded.json	FINAL_VALIDATION::results/internal_validation_results.json	0.1.0	05399e51c5f42f75c9c0b52273a11f93c5168bcf39f3ba0960927c17ab8c3821	BYTE_EXACT_FINAL_RECORDED_RESULT	Fixed-covariance one-intercept linear Gaussian model only.	NO
P-SS-008	5.5; Supplement B	The low residual is localized to 39 same-name contrast degrees of freedom and persists under the Pantheon+ statistical-only (STATONLY) covariance.	SECOND	B03B Phase 1A/1C	results/audit_summary.json	SECOND_MASTER::B03B Phase1C	1.0.0	6510e61ffeb3831040905c9c06053f7b0a2a76f34306b121a733585e38490dd2	BYTE_EXACT_CANONICAL_RESULT	No cause, row deletion, dependence, or covariance correction.	NO
P-SS-009	5.5; 8.4; Supplement B	Public input mapping is extensive, but the executed photometry-to-final-row provenance remains unresolved.	SECOND	B03B Phase 1B-1F	evidence/second_season/CLAIM_AND_NONCLAIM_LEDGER.tsv	SECOND_MASTER::B03B-C03	1.0.0	8be37bcea0b4dc9927108031f1b07d42b542ae8ae2486861b8c532e27542b15e	MASTER_LEDGER_BYTE_EXACT	Candidate inputs are not direct final-row ancestry.	NO
P-CS-001	Abstract; 2.3; 10	No unresolved contradiction among the specific audited cross-analysis claims remained after proposition, source/product, specification, quantity, and time alignment.	CROSS	CQ-SUMMARY	evidence/cross_season/CROSS_SEASON_CONTRADICTION_LEDGER.tsv	CROSS_MASTER::CONTRADICTION_AND_QUALIFICATION_LEDGER.tsv	0.1.0	bb45b7d5a10f12e8033923657a079405073bfb134e664b11a9a171a401dbce8a	FORMAL_CROSS_SEASON_VERDICT_WITH_EXPANDED_SCHEMA	Material qualifications and specified conditions for renewed analysis remain present.	NO
P-CS-002	3	The seven evidence dimensions separately assess artifact identity, output traceability, algebraic relation, target inference, diagnostic information retention, executed lineage, and support for generative or causal interpretation.	CROSS/FINAL	framework refinement	evidence/cross_season/EVIDENCE_COORDINATE_MATRIX.tsv	FINAL_MASTER::FRAMEWORK_REFINEMENT_JA.md	0.1.0	9d8debd5589f19332024f1dfa7ff2f0f6ffbaed3905ebcf79a9cb27589ae3993	FINAL_WORKING_FRAMEWORK	Coordinates are independent qualitative questions, not a score or universal theory.	NO
P-CS-003	3 Figure 2; 8.1	An unresolved result in a later evidence dimension does not erase a supported result in an earlier dimension, and inference must not be escalated across dimensions without additional evidence.	CROSS/FINAL	seven-dimension schema	evidence/cross_season/STATUS_SCHEMA.md	CROSS_MASTER plus FINAL_MASTER framework refinement	0.1.0	4333bc603c4eb47ff62769ecb221b2b3f0c60de79f72068165d15ba7cbfa92af	METHOD_BOUNDARY	No frequency or ranking claim across cosmology pipelines.	NO
P-FV-001	2.1; 7	All 24 final-validation checks (15 H0DN and 9 supernova-block checks) passed.	FINAL	V-008 through V-015	evidence/final_validation/VALIDATION_GATE_REGISTER.tsv	FINAL_MASTER::results/validation_checks.tsv	0.1.0	84c2db675cedb14e61594e62e90dc657bc12067909a5942f464ade0dbfba8649	BYTE_EXACT_FINAL_GATE_REGISTER	Project-internal validation only.	NO
P-FV-002	7	High-precision, orthogonal, congruence, and support controls support the bounded H0DN mechanism reading.	FINAL	V-009 through V-013	evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv	FINAL_MASTER::VALIDATION_LEDGER.tsv	0.1.0	b0529941e8d40cf91319c867760bc0525d3b2069d20e51b6ca54bb126ecda0e6	FINAL_PROJECT_INTERNAL_CONTROLS	No physical representation choice or external replication.	NO
P-FV-003	7; Supplement A	The exact rational fixture changes 1/2 to 1/5 under non-orthogonal scaling while preserving 1/2 under an orthogonal rotation.	FINAL	V-013	evidence/final_validation/exact_fixtures/H0DN_EXACT_RATIONAL_FIXTURE.json	FINAL_MASTER::results/internal_validation_results.json	0.1.0	fe9b8c1373065fb22a82ae6b94d9079338d4e561670fa33ff662ecf11df313a7	EXACT_DATA_FREE_FIXTURE	Mechanism possibility only.	NO
P-FV-004	7; Supplement B	Equal scalar compression can coexist with residual χ² values of 2 and 8.	FINAL	V-015	evidence/final_validation/exact_fixtures/SN_EQUAL_COMPRESSION_UNEQUAL_RESIDUAL_FIXTURE.json	FINAL_MASTER::results/internal_validation_results.json	0.1.0	48e145043c74822d6d39f4fd5ede404599d5829bb99b55c9255b3ec3b2bdfa3d	EXACT_DATA_FREE_FIXTURE	Stated one-intercept class only.	NO
P-FV-005	7	The primary same-name validation implementation passed all 24 predefined checks, and the separately written internal verifier also passed.	FINAL	V-016 / V-017	evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv	FINAL_MASTER::VALIDATION_LEDGER.tsv	0.1.0	b0529941e8d40cf91319c867760bc0525d3b2069d20e51b6ca54bb126ecda0e6	FINAL_CANONICAL_RERUN	No new contrast statistic or external replication.	NO
P-FV-006	7; 8.5; 10	The project stopping rule applies only to further internal reanalysis of the same version-locked evidence and permits renewed analysis when a specified new-evidence condition is met.	FINAL	STOP-001 / RG-001-RG-011	evidence/final_validation/STOP_RECORD.md	FINAL_MASTER::HOLD_REENTRY_AND_STOP.tsv	0.1.0	29153ee82b1a464969bb0d6b85885a7524cb1b23f0af40df7e622925c15c8c40	FORMAL_STOP_AND_REENTRY_BOUNDARY	This does not close scientific questions to new external evidence.	NO
P-NC-001	Abstract; 9; 10	No corrected or preferred H0 is established.	ALL	formal nonclaims	SCOPE_AND_NONCLAIMS.md	All four frozen masters	1.1	ebd272f04bd78e1635cc05952103df211ed4dbf90b20dc823d6d8081f064e08d	FORMAL_NONCLAIM	Explicit nonclaim.	YES
P-NC-002	Abstract; 9; 10	No revised tension significance, unique cause, solution, or new physics is established.	ALL	formal nonclaims	SCOPE_AND_NONCLAIMS.md	All four frozen masters	1.1	ebd272f04bd78e1635cc05952103df211ed4dbf90b20dc823d6d8081f064e08d	FORMAL_NONCLAIM	Explicit nonclaim.	YES
P-NC-003	2.2; 9; AI disclosure	AI-assisted implementations developed within this study are not external independent replication.	ALL	independence boundary	AI_ASSISTANCE_DISCLOSURE.md	Final and publication disclosure records	1.1	be08553241d54fd186c22d12b764b7d81a817eb6f182385f33f6cd94ffbef692	FORMAL_INDEPENDENCE_NONCLAIM	External independent replication is not established.	YES
P-NC-004	Data and code availability	Third-party raw data, posterior archives, HDF5 chains, covariance arrays, and papers are not redistributed.	PUBLICATION_SUPPLEMENT	redistribution boundary	THIRD_PARTY_NOTICES.md	Publication supplement policy	1.1	71f92243dd132e3c6a88e66bf2ba44c86b403aa350ff8912482bd13511d11e15	PACKAGE_BOUNDARY	Readers retrieve official products separately.	YES
